sortOrder,spanish,englishPrimary,englishVariantsJson,pos,frequencyCount
252,demasiado,"too much, too many, excessive","[""too much, too many, excessive"", ""too much, excessively, far too much, overmuch"", ""too, far too, way too, much too, overly, all too excessively"", ""a lot, an awful lot, a whole lot, a great deal""]",adv,205046
253,preocupar,"to worry, to concern, to trouble, to be worrisome to, to preoccupy","[""to worry, to concern, to trouble, to be worrisome to, to preoccupy"", ""to care, to worry, to be concerned, to be troubled [+por or de ]""]",v,203935
255,ganar,to gain,"[""to gain"", ""to earn"", ""to win"", ""to defeat, to beat"", ""to reach"", ""to earn for oneself"", ""to position oneself, to situate oneself""]",v,200468
256,cuánto,how much,"[""how much""]",determiner,199033
257,tío,uncle,"[""uncle"", ""unknown or any male person, dude, guy"", ""friend, mate, pal, man, bro"", ""mister""]",n,198103
258,puerta,door,"[""door"", ""gate"", ""doorway, doorstep, gateway"", ""goal""]",n,196380
259,palabra,word,"[""word"", ""wording""]",n,193254
260,ojo,eye,"[""eye"", ""keyhole"", ""caution"", ""look! watch out!""]",n,192742
261,agua,water,"[""water"", ""body of water"", ""rain"", ""river"", ""urine"", ""pop, soda"", ""infusion""]",n,191525
262,medio,half,"[""half"", ""middle"", ""average"", ""tasteful, bourgeois"", ""mid"", ""middle, mediopassive"", ""impressive"", ""half, incompletely""]",n,190862
263,dentro,inside,"[""inside"", ""indoors"", ""within, in""]",adv,190519
264,abrir,to unlock,"[""to open, open up"", ""to unlock"", ""to turn on"", ""to start, open, open up, set up"", ""to crack, crack open, to pop"", ""to break, break open"", ""to spread"", ""to answer""]",v,190488
265,jugar,to play,"[""to play"", ""to risk, take a chance""]",v,189719
266,llamado,call,"[""call"", ""called""]",adj,189120
267,loco,loose,"[""crazy, insane, mad, nuts"", ""rash, risky, imprudent"", ""tremendous, terrific, huge, enormous"", ""malfunctioning, broken and working incorrectly"", ""overgrown, rambling"", ""loose"", ""sexy"", ""a crazy person""]",n,187840
268,ocurrir,to come up with,"[""to happen, to occur"", ""to come up with""]",v,186637
269,alto,tall,"[""tall"", ""high"", ""loud"", ""upper, top"", ""senior"", ""height"", ""up, high, highly"", ""loudly""]",adj,186473
270,aquel,that,"[""that"", ""alternative spelling of \""aquél""]",determiner,186177
271,fin,end,"[""end"", ""purpose, aim, objective, goal"", ""end, stop, halt, close, finish""]",n,185195
272,pagar,to pay,"[""to pay"", ""to be worthwhile, to have a pay off""]",v,183940
273,camino,road,"[""way, route"", ""road"", ""path""]",n,183763
274,esposo,husband,"[""husband""]",n,181930
275,permitir,to indulge in,"[""to allow, permit"", ""to afford, to allow"", ""to indulge in""]",v,179144
276,recibir,to graduate,"[""to receive, get"", ""to welcome or greet, to receive guests"", ""to graduate""]",v,177606
277,pregunta,question,"[""question""]",n,176753
278,leer,to read,"[""to read""]",v,175905
279,significar,to signify,"[""to signify"", ""to mean"", ""to stand out"", ""to speak out, to assert [+en ]""]",v,174783
280,suceder,"to succeed to, to follow","[""to happen, to befall, to occur"", ""to succeed to, to follow""]",v,174618
281,muerte,death,"[""death"", ""death, demise""]",n,173412
282,millón,million,"[""million""]",n,172826
283,general,general,"[""general, overall"", ""general"", ""general elections""]",adj,172676
284,dormir,to sleep,"[""to sleep"", ""to fall asleep"", ""to sleep in"", ""to die"", ""to put to sleep"", ""to anesthetize"", ""to euthanize, to put down""]",v,172250
285,realidad,reality,"[""reality"", ""commodity""]",n,171538
286,caer,to fall,"[""to fall"", ""to fall down, to collapse"", ""to fall out"", ""to fall into, to fall for"", ""to fall into"", ""to fall, to collapse"", ""to get"", ""to be granted, awarded, or given""]",v,171322
287,rápido,rapid,"[""rapid, quick, fast"", ""rapidly, quickly, fast"", ""rapid"", ""express train""]",adj,169791
288,enviar,to send,"[""to send""]",v,169186
289,acercar,to bring close,"[""to bring close"", ""to zoom in"", ""to approach, to get close, to come"", ""to draw near, to gather around"", ""to become close"", ""to get close to, to come up to, to draw near to, to walk up to, to go over to"", ""to reach out to"", ""to close in on""]",v,169128
290,equipo,team,"[""team"", ""equipment, kit, hardware"", ""device"", ""computer""]",n,168728
291,cuál,what,"[""what""]",pron,168049
292,ayuda,assistance,"[""help, aid"", ""assistance"", ""guidance"", ""helper""]",n,168020
293,cuerpo,body,"[""body"", ""body, torso"", ""body, corpse"", ""corps, body, organization"", ""corps, force"", ""field""]",n,167247
294,jefe,chief,"[""chief"", ""boss"", ""colonel"", ""dad, father""]",n,167090
295,presidente,president,"[""president""]",n,165859
296,mover,to move,"[""to move"", ""to shake"", ""to wiggle"", ""to wag"", ""to move to, to cause to"", ""to swing"", ""to shift"", ""to move around, to get around, to drift""]",v,165365
297,comprar,to buy,"[""to buy"", ""to buy out""]",v,165261
298,supuesto,"assumption, hypothesis","[""supposed, self-styled, alleged"", ""assumption, hypothesis""]",n,164687
299,bajo,short,"[""short"", ""low, ground"", ""low, bottom, poor"", ""bass"", ""base, mean, low, despicable"", ""low"", ""down"", ""down, quietly, softly""]",prep,164484
300,gobierno,government,"[""government""]",n,162525
301,quizá,"perhaps, maybe","[""perhaps, maybe""]",adv,162117
302,comenzar,"to begin, to commence","[""to begin, to commence""]",v,161606
303,joven,"young, youthful","[""young, youthful"", ""youth, young person, youngster""]",adj,161267
304,viejo,old,"[""old"", ""stale"", ""an old person"", ""old man"", ""a guy or man, especially an adult or a male close to adulthood"", ""sweetheart, honey"", ""a male sexual companion or partner, occasional or stable""]",n,161127
305,tierra,homeland,"[""land, ground"", ""earth, soil"", ""land, terrain"", ""homeland"", ""land, country, nation, territory"", ""ground, earth"", ""earth"", ""alternative case form of \""Tierra""]",n,160730
306,número,number,"[""number"", ""musical number"", ""spectacle"", ""man, soldier""]",n,160674
307,cuatro,four,"[""four"", ""a four-stringed guitar with the first string a fifth below, instead of a fourth above, the second""]",num,160508
308,feliz,"happy, merry","[""happy, merry"", ""pleased, glad"", ""joyous, merry, happy""]",adj,159733
309,final,final,"[""final"", ""end""]",n,158693
310,regresar,"to return, go back, come back","[""to return, go back, come back""]",v,158625
311,grupo,group,"[""group"", ""party, team, crew, gang, squad"", ""cluster, bunch, clump, pool, grouping, lot, batch"", ""bracket"", ""caucus"", ""circle, collection"", ""band"", ""guile, lie""]",n,158228
312,guerra,"war, warfare","[""war, warfare""]",n,158161
313,cariño,caress,"[""affection, fondness"", ""caress"", ""dear, darling, honey, love"", ""gift"", ""wistfulness""]",n,157864
314,además,"in addition, moreover, furthermore, further, also, additionally","[""in addition, moreover, furthermore, further, also, additionally"", ""as well, also, not to mention""]",adv,157835
315,posible,possible,"[""possible""]",adj,157300
316,echar,to pour,"[""to throw, toss, cast, jettison"", ""to pour"", ""to put in, add"", ""to let out"", ""to discharge"", ""to dump"", ""to emit, give off, send out"", ""to kick out, expel, throw out, to send packing""]",v,157281
317,clase,lecture,"[""lecture"", ""class"", ""kind, sort, type""]",n,157094
318,cual,"suchlike, like , such as","[""like, as, in the manner of"", ""suchlike, like , such as""]",pron,156922
319,arma,"weapon, arm","[""weapon, arm""]",n,155831
320,cinco,five,"[""five"", ""a five""]",num,155819
321,pronto,ready,"[""prompt, on time"", ""ready"", ""soon, promptly, any time soon""]",adv,155069
322,convertir,to convert,"[""to convert"", ""to turn"", ""to transform"", ""[+en ] to become, get, turn into, transform""]",v,154899
323,difícil,unlikely,"[""difficult, hard, tough, challenging, rough, tricky, trying, arduous, testing"", ""unlikely"", ""awkward"", ""rocky, bumpy""]",adj,154485
324,cara,face,"[""face"", ""gall, nerve"", ""side"", ""heads""]",n,154293
325,sino,but,"[""destiny, fate, lot"", ""but"", ""except, apart from"", ""only, solely""]",conj,153301
326,genial,ingenious,"[""genial, pleasant"", ""great, cool, neat"", ""splendid, gorgeous"", ""ingenious""]",adj,152797
327,tocar,to touch,"[""to touch"", ""to play"", ""to be someone's time or turn, or time to do something"", ""to have to do something, be obligated to do"", ""to knock"", ""to honk"", ""to ring"", ""to touch on""]",v,152281
328,largo,long,"[""long"", ""long, lengthy, extended, prolonged, protracted"", ""long, long-running"", ""good"", ""length"", ""pitch"", ""get out!, scram!"", ""get away!""]",adj,151970
329,juego,play,"[""play"", ""game"", ""gaming"", ""set"", ""kit"", ""gambling""]",n,151843
330,escribir,to write,"[""to write"", ""to write )"", ""to chat regularly with someone on social media""]",v,151546
331,meter,to score,"[""to put in, insert"", ""to score"", ""to make"", ""to cram, to stuff, to stick, to shove"", ""to meddle, interfere, to get into"", ""to get into"", ""to get into, to get in"", ""to get into a profession""]",v,150826
332,igual,level,"[""equal, same"", ""identical, sharing the same characteristics"", ""level"", ""maybe, perhaps"", ""equal"", ""equals sign"", ""in the same way"", ""regardless, anyway""]",adj,150756
333,incluso,even,"[""enclosed, included"", ""even"", ""including""]",adv,149589
334,doctor,doctor,"[""doctor"", ""physician""]",n,148568
335,corazón,heart,"[""heart"", ""emotions, kindness, spirit"", ""the center of an object""]",n,147881
336,detener,to detain,"[""to detain"", ""to arrest"", ""to stop, halt, to pause"", ""to pull over""]",v,147580
337,adiós,"goodbye, farewell","[""goodbye, farewell"", ""farewell""]",n,147499
338,siquiera,even,"[""at least, at the least"", ""even"", ""if only""]",adv,147214
339,ello,id,"[""it, neuter third-person subject and disjunctive pronoun"", ""id""]",pron,145509
340,decidir,to decide on,"[""to decide, to make up one's mind, to determine, to choose to"", ""to decide on"", ""to rule""]",v,145238
341,suerte,oracular response,"[""luck, fortune"", ""lot, fate"", ""sort, kind, type"", ""oracular response"", ""stage in a bullfight"", ""lottery ticket"", ""a small white spot on the nails"", ""good luck!""]",n,144622
342,ayer,yesterday,"[""yesterday"", ""days gone by""]",adv,143323
343,libro,book,"[""book""]",n,143250
344,correr,to flow,"[""to run, to jog"", ""to flow"", ""to shoo, chase away, drive away"", ""to throw out"", ""to walk away"", ""to cop out, to shirk"", ""to elapse"", ""to go around, spread""]",v,142631
345,según,according to,"[""according to"", ""as, just as, the same way"", ""depending on""]",prep,142031
346,funcionar,"to work, to function","[""to work, to function""]",v,141819
347,vivo,"alive, living","[""alive, living"", ""vivid, lively"", ""intense, strong""]",adj,141628
348,luz,light,"[""light"", ""lumen"", ""brightness, intelligence"", ""focus, point of view, understanding"", ""electric power"", ""span""]",n,140699
349,quizás,"maybe, perhaps","[""maybe, perhaps""]",adv,140555
350,justo,exactly,"[""right, just"", ""exactly"", ""tightly"", ""just"", ""fair""]",adj,140078
351,miedo,fear,"[""fear""]",n,139978
352,modo,mood,"[""way, manner"", ""mood"", ""matter""]",n,139815
353,relación,relation,"[""relation"", ""relationship""]",n,139740
354,cambio,gear,"[""change, shift"", ""gear"", ""exchange rate"", ""over""]",n,139047
355,público,public,"[""public"", ""audience""]",adj,138960
356,derecho,straight,"[""straight"", ""right, right-hand"", ""correct, appropriate, right"", ""right"", ""law, jurisprudence"", ""law )"", ""a knit stitch"", ""duties, taxes, fees, charges""]",n,138431
357,presentar,to table,"[""to present, to submit"", ""to introduce , to acquaint"", ""to show"", ""to file , to lodge"", ""to table""]",v,137990
358,cerca,fence,"[""close, near, around, about, nearly, nigh"", ""close, near, around, nigh, at hand, close at hand, in sight"", ""nearby, close by"", ""fence"", ""stone wall""]",adv,137793
359,suficiente,"sufficient, enough","[""sufficient, enough""]",adj,137729
360,prueba,an athletics event,"[""proof"", ""an examination, test or quiz"", ""a trial"", ""an athletics event"", ""proof, proof sheet, page proof""]",n,137069
361,próximo,near,"[""near"", ""next"", ""approaching, forthcoming, upcoming""]",adj,136750
362,fuerte,strong,"[""strong"", ""loud"", ""hard"", ""fort, stronghold"", ""strong point, forte, strength"", ""booze""]",adj,136495
363,existir,to exist,"[""to exist""]",v,136309
364,sentido,sense,"[""deeply felt, heartfelt"", ""sense"", ""sense, way"", ""sense, meaning"", ""sense, point, use"", ""feeling"", ""direction""]",n,135489
365,orden,order,"[""order"", ""orderliness"", ""good behavior""]",n,135267
366,perro,asshole,"[""dog , domesticated for thousands of years and of highly variable appearance because of human breeding.)"", ""clothes peg, clothespin"", ""asshole"", ""doggy or doggish"", ""awful"", ""wicked""]",n,135112
367,humano,human,"[""human"", ""humane"", ""human, human being""]",adj,134746
368,vuelta,turn,"[""turn"", ""return"", ""walk"", ""tour, trip"", ""change"", ""lap"", ""second leg, return leg""]",n,133808
369,listo,alert,"[""clever, smart"", ""ready, set, all set, prepared, poised, up, down"", ""alert"", ""get set!"", ""that's it!""]",adj,133690
370,mostrar,to show,"[""to show"", ""to demonstrate or display""]",v,132815
371,subir,to go up or come up,"[""to go up or come up"", ""to raise"", ""to climb"", ""to upload""]",v,132729
372,coche,car,"[""car, automobile"", ""carriage, coach"", ""car"", ""ellipsis of \""coche de niño"", ""clipping of \""cochino""]",n,132650
373,servir,to serve,"[""to serve"", ""to be of use, to be good for"", ""to serve on the table to be eaten)"", ""to help oneself to [+de ]""]",v,132537
374,ox,shoo,"[""shoo""]",interj,132042
